id;lat;lon;description;format
BHM-CAM-003;33.521831999999996;-86.851024;I-20/59 / Arkadelphia Rd (Exit 123);['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-003.jpg']
BHM-CAM-004;33.560567999999996;-86.83046399999999;I-65 / 41st Street (Exit 264);['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-004.jpg']
BHM-CAM-005;33.540642;-86.82656;I-65 / Finley Blvd (Exit 262B);['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-005.jpg']
BHM-CAM-033;33.550984;-86.83111199999999;I-65 / 33rd Avenue;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-033.jpg']
BHM-CAM-066;33.393212;-86.783648;I-65 / I-459 Jct. (Exit 250);['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-066.jpg']
BHM-CAM-067;33.393238;-86.784368;I-65 / I-459 Jct. (Exit 250);['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-067.jpg']
BHM-CAM-068;33.393561999999996;-86.784024;I-65 / I-459 Jct. (Exit 250);['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-068.jpg']
BHM-CAM-069;33.392502;-86.784008;I-65 / I-459 Jct. (Exit 250);['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-069.jpg']
BHM-CAM-009;33.510684;-86.81994399999999;I-65 / 3rd Av N;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-009.jpg']
BHM-CAM-012;33.48386;-86.827984;I-65 / Green Springs Ave. (Exit 258);['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-012.jpg']
BHM-CAM-018;33.543938;-86.760384;I-20/59 / Airport Highway (Exit 129);['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-018.jpg']
BHM-CAM-021;33.535176;-86.721248;I-20 / Oporto-Madrid Blvd. (Exit 132);['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-021.jpg']
BHM-CAM-022;33.584848;-86.699664;I-59 / Roebuck Pkwy. (Exit 134);['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-022.jpg']
BHM-CAM-023;33.579603999999996;-86.708872;I-59 / Red Oak Rd. (Exit 133);['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-023.jpg']
BHM-CAM-028;33.539516;-86.82444;I-65 / Finley Blvd (Exit 262B);['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-028.jpg']
BHM-CAM-039;33.450534;-86.81755199999999;I-65 / Lakeshore Parkway (Exit 255);['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-039.jpg']
BHM-CAM-059;33.41042;-86.799352;I-65 / US-31 (Exit 252);['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-059.jpg']
BHM-CAM-057;33.431765999999996;-86.82471199999999;I-65 / Alford Av.;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-057.jpg']
BHM-CAM-063;33.372006;-86.777976;I-65 / Cahaba River;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-063.jpg']
280-CAM-012;33.450782;-86.740944;US 280 / Dolly Ridge;['http://inetc2c.dot.state.al.us/snapshots/280-CAM-012.jpg']
280-CAM-013;33.462494;-86.757632;US 280 / Rocky Ridge;['http://inetc2c.dot.state.al.us/snapshots/280-CAM-013.jpg']
280-CAM-014;33.442368;-86.728752;US 280 / I-459;['http://inetc2c.dot.state.al.us/snapshots/280-CAM-014.jpg']
280-CAM-016;33.418617999999995;-86.672832;US 280 / AL 119;['http://inetc2c.dot.state.al.us/snapshots/280-CAM-016.jpg']
280-CAM-017;33.419518;-86.694576;US 280 / Valleydale;['http://inetc2c.dot.state.al.us/snapshots/280-CAM-017.jpg']
280-CAM-018;33.418014;-86.682192;US 280 / Corporate Pkwy;['http://inetc2c.dot.state.al.us/snapshots/280-CAM-018.jpg']
280-CAM-019;33.470867999999996;-86.76236;US 280 / Cherokee;['http://inetc2c.dot.state.al.us/snapshots/280-CAM-019.jpg']
BHM-CAM-060;33.391358;-86.78384;I-65 / I-459;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-060.jpg']
BHM-CAM-058;33.424853999999996;-86.814928;I-65 / Before Alford;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-058.jpg']
BHM-CAM-019;33.548336;-86.749184;I-20/59 / I-20;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-019.jpg']
BHM-CAM-011;33.497822;-86.813552;I-65 / University Blvd;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-011.jpg']
BHM-CAM-015;33.516391999999996;-86.7954;US 31 / 1st Av. N.;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-015.jpg']
BHM-CAM-020;33.565504;-86.725752;I-59 / 1st Av. N.;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-020.jpg']
BHM-CAM-064;33.35387;-86.778368;I-65 / Valleydale Rd.;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-064.jpg']
BHM-CAM-001;33.506302;-86.887928;I-20/59 / 20th St. Ens.;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-001.jpg']
BHM-CAM-010;33.503707999999996;-86.814568;I-65 / 3rd Ave S.;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-010.jpg']
BHM-CAM-024;33.464031999999996;-86.825912;I-65 / Oxmoor;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-024.jpg']
BHM-CAM-016;33.50808;-86.79119999999999;US 31 / University Blvd;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-016.jpg']
BHM-CAM-040;33.438572;-86.824056;I-65 / Before Alford Ave;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-040.jpg']
BHM-CAM-007;33.525586;-86.82835999999999;I-65 / I-20/59;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-007.jpg']
BHM-CAM-008;33.521972;-86.82896799999999;I-65 / I-20/59 SB Ramp;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-008.jpg']
BHM-CAM-006;33.532348;-86.823816;I-65 / 16th st;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-006.jpg']
HVR-CAM-001;33.413032;-86.80655999999999;I-65 / US-31;['http://inetc2c.dot.state.al.us/snapshots/HVR-CAM-001.jpg']
HVR-CAM-002;33.410706;-86.80733599999999;US 31 / I-65;['http://inetc2c.dot.state.al.us/snapshots/HVR-CAM-002.jpg']
HVR-CAM-003;33.400376;-86.806632;US 31 / E Hoover Ln;['http://inetc2c.dot.state.al.us/snapshots/HVR-CAM-003.jpg']
HVR-CAM-005;33.384299999999996;-86.806;US 31 / I-459;['http://inetc2c.dot.state.al.us/snapshots/HVR-CAM-009.jpg']
HVR-CAM-015;33.358024;-86.852736;SR-150 / I-459;['http://inetc2c.dot.state.al.us/snapshots/HVR-CAM-015.jpg']
HVR-CAM-011;33.375198;-86.80716;SR-150 / Merchants Drive;['http://inetc2c.dot.state.al.us/snapshots/HVR-CAM-011.jpg']
HVR-CAM-012;33.36964;-86.81728799999999;SR-150 / Galleria Woods;['http://inetc2c.dot.state.al.us/snapshots/HVR-CAM-012.jpg']
HVR-CAM-013;33.361785999999995;-86.82898399999999;SR-150 / Cahaba River Estates Dr;['http://inetc2c.dot.state.al.us/snapshots/HVR-CAM-013.jpg']
BHM-CAM-002;33.530704;-86.850808;US 78 / Finley Ave W;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-002.jpg']
HVR-CAM-014;33.354516;-86.846424;SR-150 / Sulphur Springs Rd.;['http://inetc2c.dot.state.al.us/snapshots/HVR-CAM-014.jpg']
HVR-CAM-010;33.381218;-86.797632;Lorna Road / Greentree Dr.;['http://inetc2c.dot.state.al.us/snapshots/HVR-CAM-010.jpg']
280-CAM-009;33.482822;-86.777896;US 280 / Chester Dr.;['http://inetc2c.dot.state.al.us/snapshots/280-CAM-009.jpg']
280-CAM-010;33.409881999999996;-86.665048;us 280 / Doug Baker Blvd.;['http://inetc2c.dot.state.al.us/snapshots/280-CAM-010.jpg']
HVR-CAM-009;33.389992;-86.796224;Lorna Road / Municipal Dr.;['http://inetc2c.dot.state.al.us/snapshots/HVR-CAM-009.jpg']
BHM-CAM-050;33.528344;-86.80707199999999;I-20/59 at Caraway Blvd. / Caraway Blvd.;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-050.jpg']
BHM-CAM-055;33.52827;-86.80668;I-20/59 at Caraway Blvd. / Caraway Blvd.;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-055.jpg']
BHM-CAM-051;33.527488;-86.803336;US-31 / I-20/59;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-051.jpg']
BHM-CAM-052;33.528092;-86.80325599999999;US-31 / I-20/59;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-052.jpg']
BHM-CAM-054;33.527519999999996;-86.80411199999999;US-31 / I-20/59;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-054.jpg']
BHM-CAM-072;33.546048;-86.815488;US-31 / Finley Blvd.;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-072.jpg']
BHM-CAM-034;33.522404;-86.827632;I-65 at I-20/59 N Side / I-20/59;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-034.jpg']
BHM-CAM-071;33.539885999999996;-86.829;AL378 / 16th St;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-071.jpg']
BHM-CAM-035;33.52259;-86.82851199999999;I-65 / I-20/59;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-035.jpg']
BHM-CAM-042;33.520936;-86.83462399999999;I-20/59 / Center St.;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-042.jpg']
BHM-CAM-070;33.529987999999996;-86.850104;AL378 / US78;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-070.jpg']
BHM-CAM-036;33.521462;-86.827584;I-65 / I-20/59;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-036.jpg']
BHM-CAM-037;33.518326;-86.825272;I-65 / I-20/59;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-037.jpg']
BHM-CAM-053;33.528374;-86.803856;US-31 / I-20/59;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-053.jpg']
BHM-CAM-014;33.521896;-86.799176;US31 / 5th Av;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-014.jpg']
BHM-CAM-013;33.522622;-86.79903999999999;US31 / 5th Av N;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-013.jpg']
BHM-CAM-041;33.513529999999996;-86.87192;I-20/59 / Anniston Av.;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-041.jpg']
BHM-CAM-044;33.532599999999995;-86.797512;I-20/59 / 31st St.;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-044.jpg']
BHMCTY-CAM-2001;33.523627999999995;-86.8172;11th Av / 17th St.;['http://inetc2c.dot.state.al.us/snapshots/BHMCTY-CAM-2001.jpg']
BHM-CAM-045;33.546943999999996;-86.762832;I-20/59 / MP 129;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-045.jpg']
BHM-CAM-017;33.546062;-86.784832;I-20/59 / Coosa St;['http://inetc2c.dot.state.al.us/snapshots/BHM-CAM-017.jpg']
280-CAM-015;33.427611999999996;-86.707512;US 280 / Cahaba Park;['http://inetc2c.dot.state.al.us/snapshots/280-CAM-015.jpg']
MGM-CAM-000B;32.368828;-86.305504;I-85 / Lawrence St;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-000B.jpg']
MGM-CAM-002B;32.365814;-86.28228;I-85 / Jackson/Mulberry;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-002B.jpg']
MGM-CAM-004C;32.358764;-86.250192;I-85 / MP 4.53(S) Perry Hill Rd (M);['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-004C.jpg']
MGM-CAM-005A;32.360003999999996;-86.238896;I-85 / EXIT 4 (M) (Perry Hill);['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-005A.jpg']
MGM-CAM-005C;32.360424;-86.2342;I-85 / MP 5.21(N) past Perry Hill Rd;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-005C.jpg']
